model,data,misc_or_type,no_of_annotations,no_of_predictions,mode,precision,recall,f1,F1_from
dacy_small,all,person,460,469,strict,0.6951,0.7112,0.6929,Ibsen
dacy_small,all,person,460,469,exact,0.6951,0.7112,0.6929,Ibsen
dacy_small,all,person,460,469,partial,0.7284,0.7508,0.7281,Ibsen
dacy_small,all,person,460,469,type,0.7617,0.7905,0.7633,Ibsen
dacy_small,all,location,387,439,strict,0.7991,0.8285,0.8031,Ibsen
dacy_small,all,location,387,439,exact,0.8002,0.8302,0.8045,Ibsen
dacy_small,all,location,387,439,partial,0.8051,0.8359,0.8097,Ibsen
dacy_small,all,location,387,439,type,0.8087,0.8399,0.8134,Ibsen
dacy_small,all,organization,78,207,strict,0.5414,0.5868,0.5516,Ibsen
dacy_small,all,organization,78,207,exact,0.5414,0.5868,0.5516,Ibsen
dacy_small,all,organization,78,207,partial,0.5534,0.6110,0.5664,Ibsen
dacy_small,all,organization,78,207,type,0.5654,0.6352,0.5812,Ibsen
dacy_small,all,misc,331,339,strict,0.6279,0.6672,0.6270,Ibsen
dacy_small,all,misc,331,339,exact,0.6279,0.6672,0.6270,Ibsen
dacy_small,all,misc,331,339,partial,0.6380,0.6739,0.6347,Ibsen
dacy_small,all,misc,331,339,type,0.6481,0.6805,0.6424,Ibsen
dacy_medium,all,person,460,455,strict,0.7183,0.7105,0.7076,Ibsen
dacy_medium,all,person,460,455,exact,0.7183,0.7105,0.7076,Ibsen
dacy_medium,all,person,460,455,partial,0.7748,0.7742,0.7661,Ibsen
dacy_medium,all,person,460,455,type,0.8313,0.8379,0.8245,Ibsen
dacy_medium,all,location,387,403,strict,0.8598,0.8783,0.8612,Ibsen
dacy_medium,all,location,387,403,exact,0.8609,0.8800,0.8625,Ibsen
dacy_medium,all,location,387,403,partial,0.6147,0.6363,0.6132,Ibsen
dacy_medium,all,location,387,403,type,0.6345,0.6667,0.6351,Ibsen
dacy_medium,all,organization,78,121,strict,0.5948,0.6058,0.5912,Ibsen
dacy_medium,all,organization,78,121,exact,0.5948,0.6058,0.5912,Ibsen
dacy_medium,all,organization,78,121,partial,0.6147,0.6363,0.6132,Ibsen
dacy_medium,all,organization,78,121,type,0.6345,0.6667,0.6351,Ibsen
dacy_medium,all,misc,331,219,strict,0.7106,0.6318,0.6517,Ibsen
dacy_medium,all,misc,331,219,exact,0.7106,0.6318,0.6517,Ibsen
dacy_medium,all,misc,331,219,partial,0.7202,0.6411,0.6611,Ibsen
dacy_medium,all,misc,331,219,type,0.7299,0.6505,0.6704,Ibsen
dacy_large,all,person,460,438,strict,0.8349,0.8161,0.8210,Ibsen
dacy_large,all,person,460,438,exact,0.8349,0.8161,0.8210,Ibsen
dacy_large,all,person,460,438,partial,0.8654,0.8447,0.8494,Ibsen
dacy_large,all,person,460,438,type,0.8958,0.8733,0.8778,Ibsen
dacy_large,all,location,387,424,strict,0.8654,0.8857,0.8680,Ibsen
dacy_large,all,location,387,424,exact,0.8668,0.8874,0.8695,Ibsen
dacy_large,all,location,387,424,partial,0.8778,0.8986,0.8806,Ibsen
dacy_large,all,location,387,424,type,0.8874,0.9082,0.8902,Ibsen
dacy_large,all,organization,78,88,strict,0.6130,0.6276,0.6155,Ibsen
dacy_large,all,organization,78,88,exact,0.6130,0.6276,0.6155,Ibsen
dacy_large,all,organization,78,88,partial,0.6213,0.6359,0.6238,Ibsen
dacy_large,all,organization,78,88,type,0.6297,0.6442,0.6321,Ibsen
dacy_large,all,misc,331,341,strict,0.7286,0.7531,0.7286,Ibsen
dacy_large,all,misc,331,341,exact,0.7286,0.7531,0.7286,Ibsen
